tweet_id,favorites,retweet_count
666020888022790149,2535,507
666029285002620928,128,47
666033412701032449,124,43
666044226329800704,296,139
666049248165822465,108,41
666050758794694657,132,59
666051853826850816,1208,841
666055525042405380,430,242
666057090499244032,291,140
666058600524156928,110,57
666063827256086533,470,214
666071193221509120,145,59
666073100786774016,318,162
666082916733198337,116,44
666094000022159362,163,72
666099513787052032,153,67
666102155909144576,80,12
666104133288665088,14138,6470
666268910803644416,102,35
666273097616637952,173,76
666287406224695296,146,64
666293911632134144,494,352
666337882303524864,195,90
666345417576210432,288,133
666353288456101888,217,71
666362758909284353,770,564
666373753744588802,186,92
666396247373291520,166,84
666407126856765440,107,40
666411507551481857,439,323
666418789513326592,124,45
666421158376562688,316,111
666428276349472768,165,83
666430724426358785,315,196
666435652385423360,165,53
666437273139982337,125,48
666447344410484738,105,20
666454714377183233,517,208
666644823164719104,233,82
666649482315059201,1121,627
666691418707132416,189,47
666701168228331520,431,219
666739327293083650,238,66
666776908487630848,351,175
666781792255496192,388,198
666786068205871104,764,488
666804364988780544,242,94
666817836334096384,521,252
666826780179869698,255,97
666835007768551424,217,80
666837028449972224,823,559
666983947667116034,2560,991
666996132027977728,247,94
667012601033924608,451,225
667044094246576128,186,51
667062181243039745,220,55
667065535570550784,168,48
667073648344346624,405,124
667090893657276420,336,129
667119796878725120,331,128
667138269671505920,4633,2238
667152164079423490,48119,17345
667160273090932737,259,62
667165590075940865,2711,1154
667171260800061440,222,91
667174963120574464,246,84
667176164155375616,613,466
667177989038297088,192,55
667182792070062081,14426,6291
667188689915760640,746,422
667192066997374976,390,109
667200525029539841,621,263
667211855547486208,498,245
667369227918143488,369,167
667393430834667520,198,58
667405339315146752,472,221
667435689202614272,307,84
667437278097252352,453,242
667443425659232256,790,590
667453023279554560,315,91
667455448082227200,194,60
667470559035432960,259,100
667491009379606528,536,232
667495797102141441,527,276
667502640335572993,538,222
667509364010450944,6853,2166
667517642048163840,371,195
667524857454854144,1720,1131
667530908589760512,475,245
667534815156183040,827,551
667538891197542400,208,66
667544320556335104,878,533
667546741521195010,337,127
667549055577362432,5864,2328
667550882905632768,0,33
667550904950915073,0,35
667724302356258817,489,326
667728196545200128,380,152
667766675769573376,446,222
667773195014021121,239,58
667782464991965184,415,249
667793409583771648,708,336
667801013445750784,333,97
667806454573760512,1069,508
667832474953625600,292,63
667861340749471744,245,78
667866724293877760,3040,1057
667873844930215936,638,417
667878741721415682,397,122
667885044254572545,832,499
667886921285246976,1914,1117
667902449697558528,859,385
667911425562669056,497,311
667915453470232577,215,58
667924896115245057,307,113
667937095915278337,1288,815
668113020489474048,675,250
668142349051129856,576,294
668154635664932864,504,325
668171859951755264,501,201
668190681446379520,663,200
668204964695683073,559,200
668221241640230912,517,203
668226093875376128,304,106
668237644992782336,6317,2918
668248472370458624,1013,501
668256321989451776,1327,636
668268907921326080,563,243
668274247790391296,840,235
668286279830867968,517,142
668291999406125056,248,32
668297328638447616,632,306
668466899341221888,900,527
668480044826800133,470,152
668484198282485761,434,241
668496999348633600,420,135
668507509523615744,331,111
668528771708952576,471,232
668537837512433665,257,77
668542336805281792,469,222
668544745690562560,532,233
668567822092664832,250,57
668614819948453888,621,322
668620235289837568,207,44
668623201287675904,1466,798
668625577880875008,394,138
668627278264475648,324,118
668631377374486528,734,326
668633411083464705,2873,1697
668636665813057536,1062,502
668641109086707712,1098,554
668643542311546881,899,543
668645506898350081,912,554
668655139528511488,541,223
668779399630725120,714,382
668815180734689280,581,278
668826086256599040,443,141
668852170888998912,460,171
668872652652679168,540,308
668892474547511297,401,155
668902994700836864,324,103
668932921458302977,272,59
668955713004314625,286,74
668960084974809088,720,245
668975677807423489,1328,600
668979806671884288,806,356
668981893510119424,548,317
668986018524233728,564,173
668988183816871936,914,488
668989615043424256,695,338
668992363537309700,754,356
668994913074286592,450,240
669000397445533696,21248,6561
669006782128353280,588,258
669015743032369152,755,384
669037058363662336,674,322
669203728096960512,1021,492
669214165781868544,447,175
669216679721873412,1207,414
669324657376567296,503,214
669327207240699904,584,119
669328503091937280,1030,430
669351434509529089,450,193
669353438988365824,659,266
669354382627049472,2762,1306
669359674819481600,374,127
669363888236994561,636,237
669367896104181761,472,163
669371483794317312,503,186
669375718304980992,1364,753
669393256313184256,375,79
669564461267722241,393,128
669567591774625800,239,58
669571471778410496,1616,1049
669573570759163904,443,146
669583744538451968,1515,954
669597912108789760,520,155
669603084620980224,959,374
669625907762618368,3597,1863
669661792646373376,821,454
669680153564442624,679,299
669682095984410625,358,136
669683899023405056,395,114
669749430875258880,275,67
669753178989142016,828,414
669923323644657664,242,59
669926384437997569,385,108
669942763794931712,518,172
669970042633789440,309,62
669972011175813120,455,168
669993076832759809,330,87
670003130994700288,342,96
670037189829525505,598,287
670040295598354432,768,115
670046952931721218,657,181
670055038660800512,683,340
670061506722140161,779,353
670069087419133954,644,251
670073503555706880,1599,815
670079681849372674,2260,1280
670086499208155136,710,262
670093938074779648,1048,347
670290420111441920,722,296
670303360680108032,434,139
670319130621435904,3935,1262
670338931251150849,434,114
670361874861563904,336,69
670374371102445568,757,277
670385711116361728,572,219
670403879788544000,442,162
670408998013820928,567,231
670411370698022913,2067,927
670417414769758208,578,328
670420569653809152,637,327
670421925039075328,1338,655
670427002554466305,526,169
670428280563085312,1412,651
670433248821026816,334,117
670434127938719744,1431,665
670435821946826752,1075,532
670442337873600512,655,203
670444955656130560,6843,2039
670449342516494336,1217,692
670452855871037440,559,213
670465786746662913,985,568
670468609693655041,359,87
670474236058800128,1564,786
670668383499735048,10923,5205
670676092097810432,255,44
670679630144274432,761,292
670691627984359425,601,250
670704688707301377,779,383
670717338665226240,1237,510
670727704916926465,844,371
670733412878163972,980,526
670755717859713024,452,114
670764103623966721,1095,436
670778058496974848,333,74
670780561024270336,796,297
670782429121134593,1598,797
670783437142401025,833,406
670786190031921152,611,207
670789397210615808,676,247
670792680469889025,850,285
670797304698376195,748,244
670803562457407488,348,89
670804601705242624,2008,985
670807719151067136,1173,504
670811965569282048,1155,277
670815497391357952,3238,1586
670822709593571328,625,99
670823764196741120,793,198
670826280409919488,5663,4184
670832455012716544,749,225
670833812859932673,458,128
670838202509447168,1139,717
670840546554966016,607,200
670842764863651840,25032,9013
670995969505435648,1126,301
671109016219725825,1169,453
671115716440031232,1384,795
671122204919246848,3568,2598
671134062904504320,765,199
671138694582165504,949,417
671141549288370177,1191,672
671147085991960577,690,234
671151324042559489,686,159
671154572044468225,738,225
671159727754231808,383,84
671163268581498880,1693,1139
671166507850801152,892,361
671182547775299584,1148,356
671186162933985280,750,218
671347597085433856,982,441
671355857343524864,488,116
671357843010908160,406,151
671362598324076544,1133,301
671390180817915904,1448,753
671485057807351808,775,238
671486386088865792,589,212
671488513339211776,1031,482
671497587707535361,933,459
671504605491109889,7170,3650
671511350426865664,1640,747
671518598289059840,967,301
671520732782923777,1422,540
671528761649688577,852,265
671533943490011136,1041,595
671536543010570240,1203,420
671538301157904385,941,406
671542985629241344,1112,583
671544874165002241,2024,1081
671547767500775424,1376,613
671561002136281088,13072,7454
671729906628341761,8660,4491
671735591348891648,1478,778
671743150407421952,754,238
671744970634719232,1373,795
671763349865160704,1714,952
671768281401958400,1216,540
671789708968640512,7182,3595
671855973984772097,925,465
671866342182637568,1145,516
671874878652489728,1271,576
671879137494245376,1449,706
671882082306625538,3535,1418
671891728106971137,1355,585
671896809300709376,8620,4287
672068090318987265,1322,530
672082170312290304,960,377
672095186491711488,1017,377
672125275208069120,2455,1178
672139350159835138,1781,740
672160042234327040,886,369
672169685991993344,1041,381
672205392827572224,2308,1190
672222792075620352,801,217
672231046314901505,1870,1043
672239279297454080,912,330
672245253877968896,702,162
672248013293752320,1755,628
672254177670729728,1462,765
672256522047614977,2875,1604
672264251789176834,1170,349
672267570918129665,1531,634
672272411274932228,6578,3500
672466075045466113,1379,556
672475084225949696,1463,720
672481316919734272,729,128
672482722825261057,1158,625
672488522314567680,1138,450
672523490734551040,656,178
672538107540070400,1050,380
672591271085670400,746,190
672591762242805761,969,345
672594978741354496,1352,624
672604026190569472,1134,413
672609152938721280,1136,400
672614745925664768,1246,602
672622327801233409,1321,513
672640509974827008,990,332
672828477930868736,1274,506
672834301050937345,1336,589
672877615439593473,1054,381
672884426393653248,1583,856
672898206762672129,913,434
672902681409806336,1393,521
672964561327235073,1450,661
672968025906282496,1337,563
672970152493887488,966,367
672975131468300288,1722,948
672980819271634944,1848,1036
672984142909456390,1278,562
672988786805112832,999,303
672995267319328768,975,307
672997845381865473,2006,746
673148804208660480,1731,650
673213039743795200,2299,877
673240798075449344,1451,756
673270968295534593,1084,383
673295268553605120,7684,3280
673317986296586240,887,270
673320132811366400,13760,8247
673342308415348736,1301,610
673343217010679808,992,280
673345638550134785,2583,1325
673350198937153538,756,221
673352124999274496,1687,556
673355879178194945,1523,605
673359818736984064,1483,695
673363615379013632,1045,317
673576835670777856,1412,582
673580926094458881,851,276
673583129559498752,1219,381
673612854080196609,1620,748
673636718965334016,1137,375
673656262056419329,732,253
673662677122719744,1278,373
673680198160809984,1402,484
673686845050527744,1478,454
673688752737402881,1292,515
673689733134946305,1780,676
673697980713705472,3882,2038
673700254269775872,1475,594
673705679337693185,1285,413
673707060090052608,1119,405
673708611235921920,1099,299
673709992831262724,868,284
673711475735838725,1057,308
673715861853720576,3620,2166
673887867907739649,954,262
673906403526995968,3274,1682
673919437611909120,1195,383
673956914389192708,1994,1004
674008982932058114,1231,368
674014384960745472,1600,674
674019345211760640,1159,312
674024893172875264,1827,1279
674036086168010753,864,223
674038233588723717,1125,426
674042553264685056,740,134
674045139690631169,1454,664
674051556661161984,1478,503
674053186244734976,3407,1352
674063288070742018,6525,2314
674075285688614912,1004,300
674082852460433408,776,177
674255168825880576,1510,582
674262580978937856,1338,474
674265582246694913,1676,886
674269164442398721,922,236
674271431610523648,1609,760
674291837063053312,15133,6150
674318007229923329,1451,537
674372068062928900,868,323
674394782723014656,1539,596
674410619106390016,1229,485
674416750885273600,704,146
674422304705744896,1473,556
674436901579923456,1143,412
674447403907457024,1090,372
674468880899788800,6394,2155
674632714662858753,1543,603
674638615994089473,1730,605
674644256330530816,1060,281
674646392044941312,1483,524
674664755118911488,948,265
674670581682434048,1661,684
674690135443775488,1181,487
674737130913071104,666,96
674739953134403584,1144,412
674743008475090944,1444,581
674752233200820224,1502,486
674754018082705410,1401,468
674764817387900928,805,249
674767892831932416,1881,830
674774481756377088,1160,496
674781762103414784,2061,1261
674788554665512960,836,218
674790488185167872,1136,263
674793399141146624,2573,1143
674800520222154752,3091,899
674805413498527744,886,370
674999807681908736,2316,1151
675003128568291329,1600,496
675006312288268288,1012,236
675015141583413248,2800,1257
675047298674663426,1093,342
675109292475830276,2884,1189
675111688094527488,994,265
675113801096802304,2010,819
675135153782571009,1341,517
675145476954566656,2203,947
675146535592706048,1235,328
675147105808306176,974,253
675149409102012420,3861,1765
675153376133427200,6488,2739
675166823650848770,3722,1693
675334060156301312,2873,1359
675349384339542016,4039,2377
675354435921575936,33854,18049
675362609739206656,1081,239
675372240448454658,1750,531
675432746517426176,1575,597
675483430902214656,1909,1020
675489971617296384,1345,625
675497103322386432,3247,1363
675501075957489664,17691,6115
675517828909424640,1351,481
675522403582218240,1074,300
675531475945709568,1221,404
675534494439489536,1879,439
675706639471788032,668,103
675707330206547968,2055,734
